,날짜,역명,합 계_승차,합 계_하차
117,2015-02-28,올림픽공원,12565.0,13064.0
118,2015-03-01,디지털미디어시티,8066.0,8407.0
119,2015-03-01,올림픽공원,11657.0,12068.0
120,2015-03-02,디지털미디어시티,18203.0,19810.0
121,2015-03-02,올림픽공원,6176.0,6006.0
122,2015-03-03,디지털미디어시티,18367.0,20222.0
123,2015-03-03,올림픽공원,7370.0,6890.0
124,2015-03-04,디지털미디어시티,18124.0,20374.0
125,2015-03-04,올림픽공원,7004.0,6602.0
126,2015-03-05,디지털미디어시티,18388.0,20347.0
127,2015-03-05,올림픽공원,6234.0,5787.0
128,2015-03-06,디지털미디어시티,19205.0,20652.0
129,2015-03-06,올림픽공원,6650.0,6195.0
130,2015-03-07,디지털미디어시티,12257.0,12686.0
131,2015-03-07,올림픽공원,17143.0,17816.0
132,2015-03-08,디지털미디어시티,8439.0,8818.0
133,2015-03-08,올림픽공원,16816.0,17395.0
134,2015-03-09,디지털미디어시티,18416.0,20244.0
135,2015-03-09,올림픽공원,6482.0,6191.0
136,2015-03-10,디지털미디어시티,18292.0,20303.0
137,2015-03-10,올림픽공원,6230.0,5806.0
138,2015-03-11,디지털미디어시티,18451.0,20184.0
139,2015-03-11,올림픽공원,6372.0,6098.0
140,2015-03-12,디지털미디어시티,18559.0,20523.0
141,2015-03-12,올림픽공원,6482.0,6150.0
142,2015-03-13,디지털미디어시티,19346.0,20637.0
143,2015-03-13,올림픽공원,14942.0,17265.0
144,2015-03-14,디지털미디어시티,12796.0,13040.0
145,2015-03-14,올림픽공원,17703.0,18723.0
146,2015-03-15,디지털미디어시티,8778.0,9311.0
147,2015-03-15,올림픽공원,14961.0,15522.0
148,2015-03-16,디지털미디어시티,19070.0,20406.0
149,2015-03-16,올림픽공원,6545.0,6287.0
150,2015-03-17,디지털미디어시티,19046.0,20556.0
151,2015-03-17,올림픽공원,6494.0,6014.0
152,2015-03-18,디지털미디어시티,18222.0,20191.0
153,2015-03-18,올림픽공원,6096.0,5735.0
154,2015-03-19,디지털미디어시티,18919.0,20695.0
155,2015-03-19,올림픽공원,6361.0,5587.0
156,2015-03-20,디지털미디어시티,19306.0,20634.0
157,2015-03-20,올림픽공원,7040.0,6113.0
158,2015-03-21,디지털미디어시티,12787.0,13041.0
159,2015-03-21,올림픽공원,14407.0,15063.0
160,2015-03-22,디지털미디어시티,8182.0,8720.0
161,2015-03-22,올림픽공원,12676.0,12982.0
162,2015-03-23,디지털미디어시티,18624.0,19986.0
163,2015-03-23,올림픽공원,6431.0,6085.0
164,2015-03-24,디지털미디어시티,18738.0,20754.0
165,2015-03-24,올림픽공원,6542.0,6077.0
166,2015-03-25,디지털미디어시티,19019.0,21063.0
167,2015-03-25,올림픽공원,6846.0,6346.0
168,2015-03-26,디지털미디어시티,18582.0,20526.0
169,2015-03-26,올림픽공원,6649.0,6181.0
170,2015-03-27,디지털미디어시티,19031.0,19934.0
171,2015-03-27,올림픽공원,7158.0,6500.0
172,2015-03-28,디지털미디어시티,12565.0,13122.0
173,2015-03-28,올림픽공원,15149.0,15427.0
174,2015-03-29,디지털미디어시티,8226.0,8791.0
175,2015-03-29,올림픽공원,12845.0,13238.0
176,2015-03-30,디지털미디어시티,18653.0,20119.0
177,2015-03-30,올림픽공원,6691.0,6375.0
178,2015-03-31,디지털미디어시티,18394.0,20375.0
179,2015-03-31,올림픽공원,6546.0,6134.0
180,2015-04-01,디지털미디어시티,18721.0,20523.0
181,2015-04-01,올림픽공원,6665.0,6236.0
182,2015-04-02,디지털미디어시티,18096.0,20470.0
183,2015-04-02,올림픽공원,9747.0,10022.0
184,2015-04-03,디지털미디어시티,18923.0,20064.0
185,2015-04-03,올림픽공원,10140.0,11668.0
186,2015-04-04,디지털미디어시티,11774.0,12135.0
187,2015-04-04,올림픽공원,10758.0,10855.0
188,2015-04-05,디지털미디어시티,7843.0,8215.0
189,2015-04-05,올림픽공원,3766.0,3580.0
190,2015-04-06,디지털미디어시티,18777.0,20235.0
191,2015-04-06,올림픽공원,6918.0,6540.0
192,2015-04-07,디지털미디어시티,19040.0,20724.0
193,2015-04-07,올림픽공원,7058.0,6587.0
194,2015-04-08,디지털미디어시티,19044.0,20604.0
195,2015-04-08,올림픽공원,8175.0,7729.0
196,2015-04-09,디지털미디어시티,18719.0,20801.0
197,2015-04-09,올림픽공원,7177.0,6703.0
198,2015-04-10,디지털미디어시티,19098.0,20420.0
199,2015-04-10,올림픽공원,7459.0,6834.0
200,2015-04-11,디지털미디어시티,13094.0,13346.0
201,2015-04-11,올림픽공원,9779.0,10035.0
202,2015-04-12,디지털미디어시티,8666.0,9196.0
203,2015-04-12,올림픽공원,6146.0,6380.0
204,2015-04-13,디지털미디어시티,18341.0,20071.0
205,2015-04-13,올림픽공원,6617.0,6255.0
206,2015-04-14,디지털미디어시티,18203.0,19870.0
207,2015-04-14,올림픽공원,6876.0,6318.0
208,2015-04-15,디지털미디어시티,18663.0,20635.0
209,2015-04-15,올림픽공원,8236.0,7873.0
210,2015-04-16,디지털미디어시티,17903.0,20059.0
211,2015-04-16,올림픽공원,6405.0,5888.0
212,2015-04-17,디지털미디어시티,19300.0,20558.0
213,2015-04-17,올림픽공원,9599.0,9158.0
214,2015-04-18,디지털미디어시티,12698.0,13415.0
215,2015-04-18,올림픽공원,7789.0,7951.0
216,2015-04-19,디지털미디어시티,7503.0,7996.0
217,2015-04-19,올림픽공원,5834.0,5672.0
218,2015-04-20,디지털미디어시티,18599.0,19820.0
219,2015-04-20,올림픽공원,6950.0,6922.0
220,2015-04-21,디지털미디어시티,18754.0,20432.0
221,2015-04-21,올림픽공원,7029.0,6608.0
222,2015-04-22,디지털미디어시티,18430.0,20155.0
223,2015-04-22,올림픽공원,7398.0,7105.0
224,2015-04-23,디지털미디어시티,18493.0,20298.0
225,2015-04-23,올림픽공원,7900.0,7405.0
226,2015-04-24,디지털미디어시티,19157.0,20726.0
227,2015-04-24,올림픽공원,7815.0,7220.0
228,2015-04-25,디지털미디어시티,13492.0,13124.0
229,2015-04-25,올림픽공원,15472.0,16134.0
230,2015-04-26,디지털미디어시티,8489.0,8970.0
231,2015-04-26,올림픽공원,14637.0,15208.0
232,2015-04-27,디지털미디어시티,19077.0,20231.0
233,2015-04-27,올림픽공원,6752.0,6443.0
234,2015-04-28,디지털미디어시티,18959.0,20505.0
235,2015-04-28,올림픽공원,7558.0,6978.0
236,2015-04-29,디지털미디어시티,18651.0,20155.0
237,2015-04-29,올림픽공원,6688.0,6176.0
238,2015-04-30,디지털미디어시티,18956.0,20566.0
239,2015-04-30,올림픽공원,7929.0,7828.0
240,2015-05-01,디지털미디어시티,12705.0,12980.0
241,2015-05-01,올림픽공원,7826.0,7782.0
242,2015-05-02,디지털미디어시티,11345.0,11533.0
243,2015-05-02,올림픽공원,10645.0,11798.0
244,2015-05-03,디지털미디어시티,7995.0,7631.0
245,2015-05-03,올림픽공원,12342.0,8670.0
246,2015-05-04,디지털미디어시티,16058.0,16666.0
247,2015-05-04,올림픽공원,11655.0,11994.0
248,2015-05-05,디지털미디어시티,9182.0,9706.0
249,2015-05-05,올림픽공원,9706.0,10500.0
250,2015-05-06,디지털미디어시티,18454.0,19933.0
251,2015-05-06,올림픽공원,7104.0,6927.0
252,2015-05-07,디지털미디어시티,18698.0,20170.0
253,2015-05-07,올림픽공원,7206.0,6829.0
254,2015-05-08,디지털미디어시티,19188.0,20549.0
255,2015-05-08,올림픽공원,9512.0,8856.0
256,2015-05-09,디지털미디어시티,12518.0,12886.0
257,2015-05-09,올림픽공원,9245.0,9272.0
258,2015-05-10,디지털미디어시티,8618.0,8939.0
259,2015-05-10,올림픽공원,6292.0,6069.0
260,2015-05-11,디지털미디어시티,18375.0,19859.0
261,2015-05-11,올림픽공원,7219.0,6837.0
262,2015-05-12,디지털미디어시티,18320.0,20045.0
263,2015-05-12,올림픽공원,7364.0,7156.0
264,2015-05-13,디지털미디어시티,18696.0,20414.0
265,2015-05-13,올림픽공원,8274.0,8045.0
266,2015-05-14,디지털미디어시티,18418.0,20117.0
267,2015-05-14,올림픽공원,7674.0,7260.0
268,2015-05-15,디지털미디어시티,19255.0,20571.0
269,2015-05-15,올림픽공원,16600.0,17784.0
270,2015-05-16,디지털미디어시티,13065.0,13610.0
271,2015-05-16,올림픽공원,15222.0,15906.0
272,2015-05-17,디지털미디어시티,9056.0,9467.0
273,2015-05-17,올림픽공원,11620.0,11628.0
274,2015-05-18,디지털미디어시티,18382.0,19917.0
275,2015-05-18,올림픽공원,6870.0,6557.0
276,2015-05-19,디지털미디어시티,18368.0,20072.0
277,2015-05-19,올림픽공원,7074.0,6829.0
278,2015-05-20,디지털미디어시티,18614.0,20436.0
279,2015-05-20,올림픽공원,7571.0,7189.0
280,2015-05-21,디지털미디어시티,18488.0,20295.0
281,2015-05-21,올림픽공원,7477.0,6839.0
282,2015-05-22,디지털미디어시티,19069.0,20389.0
283,2015-05-22,올림픽공원,8118.0,7450.0
284,2015-05-23,디지털미디어시티,13131.0,12591.0
285,2015-05-23,올림픽공원,12871.0,13681.0
286,2015-05-24,디지털미디어시티,8533.0,8391.0
287,2015-05-24,올림픽공원,13748.0,15360.0
288,2015-05-25,디지털미디어시티,8926.0,9363.0
289,2015-05-25,올림픽공원,11154.0,11395.0
290,2015-05-26,디지털미디어시티,18296.0,20086.0
291,2015-05-26,올림픽공원,7237.0,6973.0
292,2015-05-27,디지털미디어시티,18408.0,19969.0
293,2015-05-27,올림픽공원,7754.0,7256.0
294,2015-05-28,디지털미디어시티,17906.0,20214.0
295,2015-05-28,올림픽공원,9272.0,8860.0
296,2015-05-29,디지털미디어시티,18684.0,20281.0
297,2015-05-29,올림픽공원,7854.0,6793.0
298,2015-05-30,디지털미디어시티,11855.0,12070.0
299,2015-05-30,올림픽공원,6070.0,5927.0
300,2015-05-31,디지털미디어시티,8844.0,8895.0
301,2015-05-31,올림픽공원,5695.0,5883.0
302,2015-06-01,디지털미디어시티,18206.0,19402.0
303,2015-06-01,올림픽공원,6797.0,6642.0
304,2015-06-02,디지털미디어시티,17923.0,19679.0
305,2015-06-02,올림픽공원,6601.0,6174.0
306,2015-06-03,디지털미디어시티,17975.0,19633.0
307,2015-06-03,올림픽공원,6643.0,6216.0
308,2015-06-04,디지털미디어시티,17637.0,19154.0
