,날짜,역명,합 계_승차,합 계_하차
123,2015-01-31,종합운동장,10046.0,10857.0
124,2015-02-01,디지털미디어시티,7760.0,8262.0
125,2015-02-01,양천구청,4319.0,4661.0
126,2015-02-01,올림픽공원,2923.0,2859.0
127,2015-02-01,종합운동장,8848.0,9683.0
128,2015-02-02,디지털미디어시티,17695.0,19525.0
129,2015-02-02,양천구청,8207.0,8705.0
130,2015-02-02,올림픽공원,5264.0,5061.0
131,2015-02-02,종합운동장,14204.0,14951.0
132,2015-02-03,디지털미디어시티,17694.0,19852.0
133,2015-02-03,양천구청,8157.0,8729.0
134,2015-02-03,올림픽공원,5307.0,5112.0
135,2015-02-03,종합운동장,12487.0,12817.0
136,2015-02-04,디지털미디어시티,17944.0,19961.0
137,2015-02-04,양천구청,8236.0,8848.0
138,2015-02-04,올림픽공원,5803.0,5366.0
139,2015-02-04,종합운동장,14856.0,15688.0
140,2015-02-05,디지털미디어시티,17769.0,19863.0
141,2015-02-05,양천구청,8264.0,8854.0
142,2015-02-05,올림픽공원,6670.0,6432.0
143,2015-02-05,종합운동장,12626.0,13006.0
144,2015-02-06,디지털미디어시티,18448.0,19897.0
145,2015-02-06,양천구청,8380.0,8909.0
146,2015-02-06,올림픽공원,9671.0,9235.0
147,2015-02-06,종합운동장,14247.0,15205.0
148,2015-02-07,디지털미디어시티,11653.0,12093.0
149,2015-02-07,양천구청,6263.0,6401.0
150,2015-02-07,올림픽공원,5688.0,5299.0
151,2015-02-07,종합운동장,9538.0,9999.0
152,2015-02-08,디지털미디어시티,7386.0,7985.0
153,2015-02-08,양천구청,3950.0,4301.0
154,2015-02-08,올림픽공원,5376.0,5305.0
155,2015-02-08,종합운동장,9061.0,9912.0
156,2015-02-09,디지털미디어시티,17524.0,19380.0
157,2015-02-09,양천구청,7975.0,8709.0
158,2015-02-09,올림픽공원,5461.0,5159.0
159,2015-02-09,종합운동장,12080.0,12976.0
160,2015-02-10,디지털미디어시티,18099.0,19853.0
161,2015-02-10,양천구청,8545.0,8912.0
162,2015-02-10,올림픽공원,5787.0,5273.0
163,2015-02-10,종합운동장,12762.0,12872.0
164,2015-02-11,디지털미디어시티,18128.0,19559.0
165,2015-02-11,양천구청,8352.0,8817.0
166,2015-02-11,올림픽공원,5814.0,5521.0
167,2015-02-11,종합운동장,13832.0,15777.0
168,2015-02-12,디지털미디어시티,17687.0,19922.0
169,2015-02-12,양천구청,8483.0,9087.0
170,2015-02-12,올림픽공원,5416.0,5114.0
171,2015-02-12,종합운동장,13197.0,13550.0
172,2015-02-13,디지털미디어시티,18541.0,19759.0
173,2015-02-13,양천구청,8468.0,8872.0
174,2015-02-13,올림픽공원,5805.0,5213.0
175,2015-02-13,종합운동장,12699.0,13214.0
176,2015-02-14,디지털미디어시티,11355.0,11814.0
177,2015-02-14,양천구청,5893.0,5954.0
178,2015-02-14,올림픽공원,6613.0,9772.0
179,2015-02-14,종합운동장,11304.0,11537.0
180,2015-02-15,디지털미디어시티,7893.0,8176.0
181,2015-02-15,양천구청,4178.0,4554.0
182,2015-02-15,올림픽공원,12491.0,13670.0
183,2015-02-15,종합운동장,10735.0,11437.0
184,2015-02-16,디지털미디어시티,16743.0,18424.0
185,2015-02-16,양천구청,7961.0,8589.0
186,2015-02-16,올림픽공원,5127.0,4844.0
187,2015-02-16,종합운동장,11933.0,11768.0
188,2015-02-17,디지털미디어시티,15877.0,17407.0
189,2015-02-17,양천구청,7668.0,7950.0
190,2015-02-17,올림픽공원,4902.0,4298.0
191,2015-02-17,종합운동장,11390.0,12920.0
192,2015-02-18,디지털미디어시티,5903.0,5892.0
193,2015-02-18,양천구청,2929.0,2836.0
194,2015-02-18,올림픽공원,1858.0,1592.0
195,2015-02-18,종합운동장,4984.0,4537.0
196,2015-02-19,디지털미디어시티,5677.0,5799.0
197,2015-02-19,양천구청,2763.0,2920.0
198,2015-02-19,올림픽공원,2016.0,1760.0
199,2015-02-19,종합운동장,2840.0,3048.0
200,2015-02-20,디지털미디어시티,6489.0,6481.0
201,2015-02-20,양천구청,3361.0,3397.0
202,2015-02-20,올림픽공원,2228.0,2061.0
203,2015-02-20,종합운동장,6294.0,6323.0
204,2015-02-21,디지털미디어시티,7500.0,7853.0
205,2015-02-21,양천구청,4113.0,4245.0
206,2015-02-21,올림픽공원,4662.0,4548.0
207,2015-02-21,종합운동장,5336.0,5490.0
208,2015-02-22,디지털미디어시티,7256.0,7617.0
209,2015-02-22,양천구청,3946.0,4202.0
210,2015-02-22,올림픽공원,2665.0,2639.0
211,2015-02-22,종합운동장,7454.0,8132.0
212,2015-02-23,디지털미디어시티,17426.0,19199.0
213,2015-02-23,양천구청,8076.0,8604.0
214,2015-02-23,올림픽공원,7658.0,7388.0
215,2015-02-23,종합운동장,11954.0,14378.0
216,2015-02-24,디지털미디어시티,18041.0,19880.0
217,2015-02-24,양천구청,8429.0,8878.0
218,2015-02-24,올림픽공원,5536.0,5031.0
219,2015-02-24,종합운동장,16850.0,14937.0
220,2015-02-25,디지털미디어시티,18254.0,20095.0
221,2015-02-25,양천구청,8558.0,9152.0
222,2015-02-25,올림픽공원,8536.0,8880.0
223,2015-02-25,종합운동장,13511.0,13974.0
224,2015-02-26,디지털미디어시티,17941.0,20053.0
225,2015-02-26,양천구청,8285.0,8921.0
226,2015-02-26,올림픽공원,5646.0,5177.0
227,2015-02-26,종합운동장,15575.0,16202.0
228,2015-02-27,디지털미디어시티,18578.0,19984.0
229,2015-02-27,양천구청,8474.0,8904.0
230,2015-02-27,올림픽공원,5687.0,5360.0
231,2015-02-27,종합운동장,16710.0,16988.0
232,2015-02-28,디지털미디어시티,12136.0,12481.0
233,2015-02-28,양천구청,6417.0,6678.0
234,2015-02-28,올림픽공원,12565.0,13064.0
235,2015-02-28,종합운동장,12378.0,12504.0
236,2015-03-01,디지털미디어시티,8066.0,8407.0
237,2015-03-01,양천구청,4271.0,4590.0
238,2015-03-01,올림픽공원,11657.0,12068.0
239,2015-03-01,종합운동장,14819.0,15035.0
240,2015-03-02,디지털미디어시티,18203.0,19810.0
241,2015-03-02,양천구청,8640.0,9303.0
242,2015-03-02,올림픽공원,6176.0,6006.0
243,2015-03-02,종합운동장,16830.0,18085.0
244,2015-03-03,디지털미디어시티,18367.0,20222.0
245,2015-03-03,양천구청,8892.0,9529.0
246,2015-03-03,올림픽공원,7370.0,6890.0
247,2015-03-03,종합운동장,13993.0,15080.0
248,2015-03-04,디지털미디어시티,18124.0,20374.0
249,2015-03-04,양천구청,8613.0,9215.0
250,2015-03-04,올림픽공원,7004.0,6602.0
251,2015-03-04,종합운동장,12903.0,13716.0
252,2015-03-05,디지털미디어시티,18388.0,20347.0
253,2015-03-05,양천구청,8834.0,9330.0
254,2015-03-05,올림픽공원,6234.0,5787.0
